            2           3                                      4                                              5                                          6                                                         7                                                            8                    9
0         NaN         NaN                                    NaN                              논리설계, 컴퓨터구조, 알고리즘                                        NaN                         프로그래밍언어, 자료구조, 공학수학, 확률및랜덤과정, 딥러닝                          운영체제, 컴퓨터네트워크, 데이터베이스, 자연어처리, 데이터과학                  NaN
1         NaN         NaN           자료구조, 계산이론, 이산수학, 논리설계, 회로이론                       컴퓨터구조, 알고리즘, 데이터통신, 공학수학    컴퓨터네트워크, 운영체제, 정보와정보학, 소프트웨어공학, 프로그래밍언어             데이터베이스, 인공지능, 기업가정신과리더쉽, 컴파일러, 신호및시스템, 무선회로설계                        데이터과학, 스타트업프로젝트관리, 컴퓨터학콜로키움, 시스템프로그래밍                  NaN
2         NaN         NaN                       이산수학, 자료구조, 계산이론                               알고리즘, 논리설계, 공학수학                확률및랜덤과정, 데이터통신, 컴퓨터구조, 인공지능                                 데이터베이스, 신호및시스템, 운영체제, 딥러닝                                                          NaN                  NaN
3         NaN         NaN                                   알고리즘                           컴퓨터구조, 자료구조, 컴퓨터네트워크                          운영체제, 데이터과학, 인공지능                                기계학습, 기업가정신과리더쉽, 이산수학, 딥러닝                                                       데이터베이스        자연어처리, 무선회로설계
4         NaN         NaN                       알고리즘, 자료구조, 인공지능              정보보호, 확률및랜덤과정, 딥러닝, 데이터베이스, 컴퓨터구조       컴퓨터네트워크, 강화학습, 고급기계학습, 볼록최적화입문, 운영체제                                                       NaN                                                          NaN                  NaN
5         NaN        이산수학                             자료구조, 알고리즘                           논리설계, 컴퓨터구조, 컴퓨터네트워크                          데이터과학, 인공지능, 기계학습                                                 딥러닝, 운영체제                                볼록최적화입문, 정보이론과추론학습, 기업가정신과리더쉽                  NaN
6         NaN         NaN           이산수학, 자료구조, 계산이론, 논리설계, 공학수학                              알고리즘, 컴퓨터구조, 운영체제      컴퓨터그래픽스, 컴퓨터네트워크, 인공지능, 데이터베이스, 데이터과학                                                       NaN                                                          NaN                  NaN
7         NaN  자료구조, 이산수학                 계산이론, 알고리즘, 공학수학, 인공지능                                            NaN                                        NaN                                                       NaN                                                          NaN                  NaN
8         NaN        자료구조                 알고리즘, 논리설계, 계산이론, 이산수학       프로그래밍언어, 컴퓨터구조, 소프트웨어공학, 데이터베이스, 컴퓨터네트워크     인터넷프로토콜, 운영체제, 소프트웨어보안, 데이터과학, 컴퓨터그래픽스                                                       NaN                                                          NaN                  NaN
9         NaN         NaN                                    NaN                                            NaN         이산수학, 자료구조, 계산이론, 논리설계, 회로이론, 알고리즘             컴퓨터구조, 운영체제, 소프트웨어공학, 컴퓨터네트워크, 데이터베이스, 데이터베이스                                                          NaN                  NaN
10        NaN         NaN              알고리즘, 계산이론, 논리설계, 컴퓨터네트워크                            이산수학, 컴퓨터구조, 데이터베이스                                자료구조, 데이터과학                                                       NaN                                                          NaN                  NaN
11        NaN         NaN                        계산이론, 기업가정신과리더쉽                     이산수학, 알고리즘, 컴퓨터구조, 컴퓨터네트워크                 저전력컴퓨팅, 데이터과학, 전산학특강, 자료구조                               데이터통신, 시스템프로그래밍, 정보보호, 인공지능             인터넷프로토콜, 컴파일러, 운영체제, 컴퓨터학콜로키움, 자연어처리, 스타트업프로젝트관리                  NaN
